DATE,USERCOUNT,SECONDSSPENT,QUANTITY,VOLUME,WEIGHT,PRICE
2019-09-28,23,495696,199103,560.429858875,46106.739,233080.12
2019-10-01,139,4588551,2843997,9130.583820222,962835.8852962963,5003265.6899999995
2019-10-02,135,4684235,2995554,8788.112634191495,952354.2218888889,4635812.13
2019-10-03,137,4923441,2973238,8407.006951810496,932203.0534444444,4819371.1
2019-10-04,133,4466997,3632826,9917.839141689998,1083765.5746666666,5198470.26
2019-10-05,1,82616,0,0.0,0.0,0.0
2019-10-07,136,4655255,3034999,8082.779497154999,893124.1589666667,4784288.24
2019-10-08,140,5246294,2895758,8942.7131746905,997576.7151037037,5252250.66
2019-10-09,145,5324165,2713564,8703.402313431001,1082697.8222407408,5206496.16
2019-10-10,137,5590573,2529490,9524.197731862005,1157866.7135,5551860.53
2019-10-11,133,5134612,2558923,9494.8068605145,1178877.6376481482,5247459.68
2019-10-12,46,1523342,764445,1983.608229101,267660.37899999996,1361242.35
2019-10-14,149,5693249,2806116,9429.459788153,1187059.3448703703,5181025.29
2019-10-15,150,5735344,3001501,9953.116296929,1247824.974,6405567.63
2019-10-16,151,5510405,2879947,9678.8842811395,1219293.642,7405532.8
2019-10-17,138,5197352,2830148,7910.213531542,972780.8796222223,6398234.09
2019-10-18,134,4689937,3274509,8089.3297465415,1066820.0058703704,6284184.04
2019-10-19,38,1023724,469363,933.5755887305,146937.26150000002,1035922.8400000001
2019-10-21,139,4882852,2762082,6786.4243614645,953322.8204,6455798.02
2019-10-22,134,4595184,2814248,6800.727785009501,954360.1233703704,6104343.29
2019-10-23,118,3806343,1991971,5851.2275234405,797586.4006481481,4765538.23
2019-10-24,107,3337689,2097059,5492.13383406,748519.3975666666,3702882.68
2019-10-25,76,2263074,1715151,5387.6480106645,687569.4130481482,3215025.83
2019-10-26,1,35121,0,0.0,0.0,0.0
2019-10-28,115,3890825,2164311,6915.691892903,830126.4348841482,4380647.08
2019-10-29,118,4040278,2333087,6891.866712958,841202.117532,4141034.3
2019-10-30,109,3571934,1951527,5749.1897641375,733535.149364,3655197.67
2019-11-01,1,30397,0,0.0,0.0,0.0
2019-11-04,115,3900697,1915557,5767.858741588503,811290.759448,3918151.23
2019-11-05,119,3959810,2045078,5924.276801992502,847294.511604,4018229.09
2019-11-06,118,4056065,2053215,6709.097604714002,922109.211064,4309447.23
2019-11-07,128,4412530,1837073,5911.402690281502,802522.430684,4108674.69
2019-11-08,98,4190394,2361493,7350.517923155,1010927.464988,4892672.7
2019-11-09,41,1555449,692213,1826.231932027,257862.4982,1863096.41
2019-11-12,118,4378573,2319126,7240.901149424992,1005230.245192,5993857.71
2019-11-13,128,4706785,2569026,7416.382726058502,1059259.56382,104542858.27
2019-11-14,129,4780642,2334658,6952.105060709498,1016540.6336640001,5366044.01
2019-11-15,105,3912502,2756402,7535.080429408506,1130871.42276,4548761.4
2019-11-16,1,30921,0,0.0,0.0,0.0
2019-11-18,109,4058640,2068346,6219.0882268115,911233.1588399999,4154597.8099999996
2019-11-19,97,2782712,1797953,5093.337955441004,766040.4726559999,3284135.71
