DATE,LOCUS,WOANBL
2019-03-13,NL,26941
2019-03-13,NWDSP,27
2019-03-13,NWKL,1358
2019-03-14,ARWEB,13
2019-03-14,NL,31136
2019-03-14,TL,13
2019-03-15,ARWEB,2
2019-03-15,NL,347
2019-03-15,NWDSP,19
2019-03-15,TL,3
2019-03-15,VRET,100
2019-03-16,NL,4140
2019-03-17,NL,25612
2019-03-18,ARWEB,7
2019-03-18,NL,26209
2019-03-18,NWDSP,43
2019-03-18,NWECO,169
2019-03-19,NL,31904
2019-03-19,NWDSP,1
2019-03-19,NWKL,3102
2019-03-19,TL,9
2019-03-19,VRET,200
2019-03-20,ARWEB,21
2019-03-20,EXT,3
2019-03-20,NL,25214
2019-03-20,NWDSP,1
2019-03-20,NWKL,2151
2019-03-20,TL,2
2019-03-21,ARWEB,1
2019-03-21,NL,30432
2019-03-22,NL,13
2019-03-22,TL,1
2019-03-22,VRET,25
2019-03-23,NL,4247
2019-03-24,NL,23507
2019-03-25,ARWEB,4
2019-03-25,NL,25940
2019-03-25,NLECO,21
2019-03-25,NWKL,2292
2019-03-25,TL,10
2019-03-26,ARWEB,18
2019-03-26,NL,29835
2019-03-26,NWKL,1202
2019-03-26,TL,2
2019-03-27,ARWEB,5
2019-03-27,NL,24199
2019-03-27,TL,5
2019-03-28,NL,14631
2019-03-28,NWECO,1
2019-03-28,TL,5
2019-03-29,ARWEB,7
2019-03-29,NL,19
2019-03-29,NWKL,599
2019-03-29,TL,1
2019-03-30,NL,11387
2019-03-31,NL,20428
2019-04-01,ARWEB,9
2019-04-01,NL,26495
2019-04-01,NLECO,52
2019-04-01,NWKL,454
2019-04-01,TL,8
2019-04-02,NL,26329
2019-04-02,NWECO,193
2019-04-02,NWKL,496
2019-04-03,ARWEB,5
2019-04-03,NL,25256
2019-04-03,TL,1
2019-04-04,NL,1987
2019-04-04,TL,1
2019-04-04,VRET,50
2019-04-05,ARWEB,6
2019-04-05,NL,313
2019-04-05,TL,6
2019-04-06,NL,23863
2019-04-07,NL,22320
2019-04-08,ARWEB,15
2019-04-08,NL,34809
2019-04-08,TL,3
2019-04-09,NL,35416
2019-04-09,TL,11
2019-04-10,ARWEB,7
2019-04-10,NL,19480
2019-04-10,TL,12
2019-04-11,NL,159
2019-04-12,ARWEB,9
2019-04-12,NL,1278
2019-04-12,TL,1
2019-04-13,NL,27602
2019-04-14,NL,26879
2019-04-15,ARWEB,12
2019-04-15,NL,35312
2019-04-15,TL,3
2019-04-16,NL,29109
2019-04-16,TL,9
2019-04-17,ARWEB,12
2019-04-17,NL,18766
2019-04-17,TL,8
2019-04-18,NL,194
2019-04-18,TL,6
2019-04-19,ARWEB,5
2019-04-19,NL,11
2019-04-19,TL,3
2019-04-20,NL,286
2019-04-21,NL,18804
2019-04-22,NL,25217
2019-04-23,EXT,1
2019-04-23,NL,25323
2019-04-23,TL,17
2019-04-24,ARWEB,47
2019-04-24,NL,27133
2019-04-24,TL,6
2019-04-25,NL,82
2019-04-25,TL,6
2019-04-26,ARWEB,10
2019-04-26,NL,124
2019-04-26,NWECO,25
2019-04-26,NWKL,2821
2019-04-27,NL,14777
2019-04-28,NL,18761
2019-04-29,ARWEB,5
2019-04-29,NL,3445
2019-04-29,NLECO,45
2019-04-30,ARWEB,2
2019-04-30,NL,24721
2019-04-30,NWECO,4
2019-04-30,TL,10
2019-05-01,NL,18756
2019-05-02,NL,13989
2019-05-02,TL,18
2019-05-03,ARWEB,12
2019-05-03,NL,2
2019-05-03,NLECO,31
2019-05-03,TL,12
2019-05-04,NL,13507
2019-05-05,NL,16390
2019-05-06,ARWEB,29
2019-05-06,NL,25799
2019-05-06,TL,5
2019-05-07,NL,33463
2019-05-07,NWECO,213
2019-05-07,TL,4
2019-05-08,ARWEB,9
2019-05-08,NL,36613
2019-05-08,TL,12
2019-05-09,NL,16063
2019-05-09,NWKL,470
2019-05-09,TL,18
2019-05-10,ARWEB,3
2019-05-10,NL,8
2019-05-10,NLECO,9
2019-05-10,TL,4
2019-05-11,NL,5000
2019-05-12,NL,24391
2019-05-13,ARWEB,3
2019-05-13,NL,22987
2019-05-13,NWECO,16
2019-05-13,TL,9
2019-05-14,NL,28644
2019-05-14,NWKL,2091
2019-05-14,TL,25
2019-05-15,ARWEB,36
2019-05-15,NL,30484
2019-05-16,NL,15978
2019-05-16,NWKL,1393
2019-05-16,TL,4
2019-05-16,VRET,197
2019-05-17,ARWEB,9
2019-05-17,NL,297
2019-05-17,PHSLD,2239
2019-05-17,TL,1
2019-05-18,NL,4168
2019-05-19,NL,32384
2019-05-20,ARWEB,5
2019-05-20,NL,22286
2019-05-20,NWKL,3441
2019-05-20,PHSLD,793
2019-05-20,TL,9
2019-05-21,ARWEB,1
2019-05-21,NL,14188
2019-05-21,NWDSP,25
2019-05-21,NWECO,197
2019-05-21,PHSLD,1903
2019-05-21,TL,6
2019-05-22,ARWEB,23
2019-05-22,NL,18817
2019-05-22,PHSLD,802
2019-05-22,TL,16
2019-05-23,ARWEB,3
2019-05-23,NL,255
2019-05-23,PHSLD,489
2019-05-23,TL,10
2019-05-24,ARWEB,5
2019-05-24,NL,4021
2019-05-24,NLECO,8
2019-05-24,NWECO,4
2019-05-24,PHSLD,371
2019-05-25,NL,17178
2019-05-26,NL,18701
2019-05-27,ARWEB,18
2019-05-27,NL,23115
2019-05-27,NLECO,61
2019-05-27,PHSLD,8808
2019-05-27,TL,17
2019-05-28,ARWEB,22
2019-05-28,NL,2
2019-05-28,NLECO,25
2019-05-28,PHSLD,4180
2019-05-28,TL,9
2019-05-29,ARWEB,2
2019-05-29,NL,22544
2019-05-29,NLECO,10
2019-05-29,PHSLD,7284
2019-05-29,TL,18
2019-05-30,NL,3828
2019-05-31,ARWEB,6
2019-05-31,NL,401
2019-05-31,NLECO,1
2019-05-31,NWKL,552
2019-05-31,PHSLD,530
2019-06-01,NL,17770
2019-06-02,NL,21129
2019-06-03,ARWEB,21
2019-06-03,NL,23754
2019-06-03,NLECO,44
2019-06-03,TL,23
2019-06-04,ARWEB,1
2019-06-04,NL,25559
2019-06-04,NLECO,3
2019-06-04,NWKL,2777
2019-06-04,PHSLD,6501
2019-06-04,TL,7
2019-06-05,ARWEB,3
2019-06-05,NL,11927
2019-06-05,TL,20
2019-06-06,NL,317
2019-06-06,NWDSP,24
2019-06-06,PHSLD,2986
2019-06-06,TL,1
2019-06-07,ARWEB,6
2019-06-07,NL,11
2019-06-08,NL,433
2019-06-09,NL,16468
2019-06-10,NL,19562
2019-06-11,NL,30805
2019-06-11,PHSLD,1210
2019-06-11,TL,7
2019-06-12,ARWEB,12
2019-06-12,NL,19345
2019-06-12,NWDSP,3
2019-06-12,NWKL,2314
2019-06-13,NL,23388
2019-06-13,NWECO,141
2019-06-13,PHSLD,307
2019-06-13,TL,11
2019-06-14,ARWEB,9
2019-06-14,NL,503
2019-06-15,NL,4109
2019-06-16,NL,15519
2019-06-17,ARWEB,15
2019-06-17,NL,15798
2019-06-17,PHKER,1495
2019-06-17,PHSLD,57
2019-06-18,NL,25101
2019-06-18,TL,7
2019-06-19,ARWEB,348
2019-06-19,NL,17349
2019-06-19,PHKER,4994
2019-06-19,TL,2
2019-06-19,VSOLD,34
2019-06-20,NL,21993
2019-06-20,NLECO,17
2019-06-21,ARWEB,14
2019-06-21,NL,413
2019-06-21,TL,2
2019-06-22,NL,3629
2019-06-23,NL,18802
