DATE,SECONDSSPENT,FORECAST
2023-04-25,1654829.0,1530074.393124873
2023-04-26,1786066.0,1649179.7238987056
2023-04-27,1706439.0,1666611.6240121615
2023-04-28,1810797.0,1324229.454165825
2023-04-29,41479.0,134382.84023517984
2023-04-30,3600.0,3367.0221314854766
2023-05-01,3600.0,1493506.7259550814
2023-05-02,2194689.0,665198.9358587414
2023-05-03,2178143.0,1479309.010712739
2023-05-04,1974723.0,1774473.5960530373
2023-05-05,1901291.0,1478410.5902696599
2023-05-06,3600.0,143425.22101974118
2023-05-07,3600.0,2830.127811287063
2023-05-08,2387607.0,1362445.661061142
2023-05-09,1804439.0,1746508.7318256914
2023-05-10,1846482.0,1807429.8661456786
2023-05-11,1911116.0,1766267.4414367836
2023-05-12,1674096.0,1452306.8021650463
2023-05-13,764.0,130923.6328312169
2023-05-14,3600.0,2562.8164829006687
2023-05-15,2455986.0,1311269.4209659009
2023-05-16,1726954.0,1741932.2709841612
2023-05-17,1643700.0,1765057.7681479983
2023-05-18,3600.0,1647681.7383458125
2023-05-19,1309004.0,645707.7099622004
2023-05-20,3600.0,80537.51164025888
2023-05-21,3600.0,1646.4095990736469
2023-05-22,2556471.0,1119045.8679938824
2023-05-23,1615007.0,1684362.9669221565
2023-05-24,1907056.0,1677232.5058851915
2023-05-25,1759016.0,1717471.788764044
2023-05-26,1618323.0,1401640.9042373688
2023-05-27,3600.0,122533.29949859926
2023-05-28,3600.0,2542.8959400935837
2023-05-29,3600.0,1314329.1347379049
2023-05-30,2070191.0,585831.1989090041
2023-05-31,1754025.0,1349574.5471366225
2023-06-01,1941086.0,1483524.0988128767
2023-06-02,1688014.0,1382472.894301562
2023-06-03,3600.0,123209.76861027161
2023-06-04,3600.0,2593.3920147913364
2023-06-05,2158609.0,1306740.7222286772
2023-06-06,2206246.0,1622374.24921233
2023-06-07,2138692.0,1909594.7017862825
2023-06-08,2061746.0,1939875.5853290304
2023-06-09,1897470.0,1616008.0100842274
2023-06-10,198969.0,139444.02868907904
2023-06-11,3600.0,7085.029209718712
2023-06-12,2007710.0,2272506.334130274
2023-06-13,1706451.0,2001365.3445417406
2023-06-14,1797904.0,1843973.8856785006
2023-06-15,1597426.0,1742219.3343699735
2023-06-16,1282675.0,1347847.3914311926
2023-06-17,3600.0,104395.75026799618
2023-06-18,3600.0,2211.7251848338487
2023-06-19,1683520.0,1232672.1517601574
2023-06-20,1760754.0,1357952.4633610048
2023-06-21,1525859.0,1550411.14811533
2023-06-22,1832562.0,1468473.4901999608
2023-06-23,1552663.0,1332710.9316618103
2023-06-24,3600.0,113565.61229655074
2023-06-25,3600.0,2442.468950984919
